Year,Week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2017,17,100.2,56.0,82.8,69.2,127.3,84.6,78.0,24.8,22.4,30.0,33.6,50.4,124.6,50.4,,,56.8,,119.6,24.4,,,,98.2,9.4,42.2,20.0,,91.6,,70.4,19.6,102.4,51.6,195.2,104.4,,,79.8,17.8,,46.2,89.2,28.0,38.7,112.6,17.8,34.6,,32.4
2017,18,2.0,76.0,1.6,1.2,54.5,25.2,30.4,49.8,69.8,34.2,72.2,39.8,35.2,19.2,,,30.4,,69.8,53.0,,,,28.2,13.6,13.0,0.2,,69.4,,17.2,35.6,68.4,65.2,53.4,53.4,,16.0,6.8,12.4,,24.8,,29.2,25.5,109.8,71.6,14.0,,9.6
2017,19,9.2,28.4,20.4,8.4,13.9,31.8,20.0,6.4,68.0,63.8,42.2,70.2,13.8,61.8,56.4,,36.4,15.6,107.0,30.6,,18.0,,8.2,51.4,16.6,55.9,30.8,,,27.8,27.4,46.2,,9.2,,,62.8,13.2,70.1,,11.6,,13.1,33.5,34.4,58.2,11.0,29.4,25.8
2017,20,84.8,15.8,82.8,59.8,64.5,19.0,35.8,23.5,11.0,12.8,14.4,18.4,34.2,,14.2,,46.8,35.8,16.0,21.2,,56.6,,53.4,57.4,20.0,,28.0,,,28.4,26.6,9.6,,52.8,,,30.2,67.2,27.2,,26.2,,,50.4,5.4,,28.8,61.0,
2017,21,43.4,103.0,39.8,,79.6,107.4,46.6,92.8,111.5,89.4,115.4,108.8,57.0,,83.6,,60.4,,,97.4,120.6,101.2,,55.0,110.8,102.4,,122.4,,,76.2,110.6,81.4,,66.4,,,131.6,39.8,126.6,75.0,85.2,,,81.4,69.8,102.0,113.0,,
2017,22,109.2,59.4,87.4,,104.6,99.0,,72.8,51.5,71.6,18.4,117.8,79.6,,67.0,,81.6,,,86.4,,91.5,,89.8,71.0,107.0,,,,,51.8,66.6,75.8,81.2,95.8,,,68.8,120.6,59.0,,70.6,,40.6,36.3,60.0,33.2,91.4,,84.2
2017,23,0.0,29.8,0.0,0.0,0.0,20.6,0.2,10.0,60.6,4.6,43.4,5.0,9.0,2.6,13.4,,1.6,,,,33.6,21.0,,0.2,53.0,13.0,,9.0,29.8,,4.0,29.4,24.8,35.2,0.0,6.5,1.8,46.8,0.0,64.1,,1.8,,7.5,7.4,12.8,,1.4,,7.2
2017,24,16.0,111.8,10.6,8.0,24.0,104.8,22.0,119.5,98.2,34.2,80.2,101.8,36.0,19.6,56.4,,22.6,60.2,,,,98.0,,45.2,115.8,102.8,,84.6,81.2,,44.8,109.2,87.4,123.6,,,25.2,76.0,37.6,74.3,,62.6,,69.2,68.5,88.8,,68.8,,51.4
2017,25,55.6,0.2,51.0,35.8,84.8,7.2,72.6,5.8,0.8,40.4,1.2,40.6,4.8,24.4,49.0,7.2,44.0,4.0,38.0,,7.4,17.3,,31.2,3.6,23.8,5.8,36.0,40.0,,72.8,16.8,,0.8,84.8,25.8,,7.6,,6.4,,35.6,40.8,3.8,2.1,19.0,7.2,33.2,,20.4
2017,26,8.2,13.8,5.6,22.8,5.0,29.4,3.2,64.7,4.8,8.8,14.8,24.6,34.6,7.4,,,5.2,18.2,,,,23.8,,40.2,22.4,,41.8,14.8,16.8,,2.4,62.8,19.6,92.0,8.4,33.0,,38.0,,37.2,,37.8,47.6,12.6,17.3,34.0,,,,1.4
